date,cash,gross_exposure,net_exposure,equity,pnl_day,pnl_cum,n_positions
2026-05-26 00:00:00,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-27,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-28,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-29,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-01,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-02,919.420000,9080.580000,9080.580000,10009.070000,9.070000,9.070000,9
2026-06-03,919.420000,9080.580000,9080.580000,9986.850000,-22.220000,-13.150000,9
2026-06-04,919.420000,9080.580000,9080.580000,10005.870000,19.020000,5.870000,9
2026-06-05,919.420000,9080.580000,9080.580000,9877.850000,-128.020000,-122.150000,9
2026-06-08,919.420000,9080.580000,9080.580000,9887.710000,9.860000,-112.290000,9
2026-06-09,919.420000,9080.580000,9080.580000,9884.290000,-3.420000,-115.710000,9
2026-06-10,919.420000,9080.580000,9080.580000,9829.390000,-54.900000,-170.610000,9
2026-06-11,919.420000,9080.580000,9080.580000,9895.090000,65.700000,-104.910000,9
2026-06-12,919.420000,9080.580000,9080.580000,9902.100000,7.010000,-97.900000,9
2026-06-15,919.420000,9080.580000,9080.580000,9911.220000,9.120000,-88.780000,9
2026-06-16,919.420000,9080.580000,9080.580000,9896.060000,-15.160000,-103.940000,9
2026-06-17,919.420000,9080.580000,9080.580000,9814.770000,-81.290000,-185.230000,9
2026-06-18,919.420000,9080.580000,9080.580000,9837.900000,23.130000,-162.100000,9
2026-06-22,919.420000,9080.580000,9080.580000,9827.280000,,-172.720000,9
2026-06-23,919.420000,9080.580000,9080.580000,9772.020000,-55.260000,-227.980000,9
2026-06-24,919.420000,9080.580000,9080.580000,9720.400000,-51.620000,-279.600000,9
2026-06-25,919.420000,9080.580000,9080.580000,9762.700000,42.300000,-237.300000,9
2026-06-26,919.420000,9080.580000,9080.580000,9759.430000,-3.270000,-240.570000,9
2026-06-29,919.420000,9080.580000,9080.580000,9770.270000,10.840000,-229.730000,9
2026-06-30,919.420000,9080.580000,9080.580000,9762.250000,-8.020000,-237.750000,9
2026-07-01,919.420000,9080.580000,9080.580000,9728.400000,-33.850000,-271.600000,9
2026-07-02,919.420000,9080.580000,9080.580000,9770.860000,42.460000,-229.140000,9
2026-07-06,919.420000,9080.580000,9080.580000,9817.570000,46.710000,-182.430000,9
2026-07-07,919.420000,9080.580000,9080.580000,9808.440000,-9.130000,-191.560000,9
2026-07-08,919.420000,9080.580000,9080.580000,9791.750000,-16.690000,-208.250000,9
2026-07-09,919.420000,9080.580000,9080.580000,9808.580000,16.830000,-191.420000,9
2026-07-10,919.420000,9080.580000,9080.580000,9814.120000,5.540000,-185.880000,9
