date,cash,gross_exposure,net_exposure,equity,pnl_day,pnl_cum,n_positions
2026-05-26 00:00:00,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-27,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-28,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-29,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-01,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-02,15230.520000,-5230.520000,-5230.520000,10013.110000,13.110000,13.110000,9
2026-06-03,18700.090000,-8733.090000,-8733.090000,10386.530000,373.420000,386.530000,8
2026-06-04,18700.090000,-8733.090000,-8733.090000,10465.950000,79.420000,465.950000,8
2026-06-05,18700.090000,-8733.090000,-8733.090000,11032.690000,566.740000,1032.690000,8
2026-06-08,19779.750000,-9850.530000,-9850.530000,10816.170000,-216.520000,816.170000,7
2026-06-09,19241.330000,-9312.110000,-9312.110000,11059.540000,243.370000,1059.540000,8
2026-06-10,19743.780000,-9850.530000,-9850.530000,11695.180000,635.640000,1695.180000,7
2026-06-11,19244.700000,-9351.450000,-9351.450000,11337.320000,-357.860000,1337.320000,8
