date,cash,gross_exposure,net_exposure,equity,pnl_day,pnl_cum,n_positions
2025-10-09,10000.870000,0.000000,0.000000,10000.870000,0.000000,0.870000,1
2025-10-10,10001.800000,0.000000,0.000000,10001.800000,0.930000,1.800000,1
2025-10-11,10002.150000,0.000000,0.000000,10002.150000,0.350000,2.150000,1
2025-10-12,10003.130000,0.000000,0.000000,10003.130000,0.980000,3.130000,1
2025-10-13,10003.920000,0.000000,0.000000,10003.920000,0.790000,3.920000,1
2025-10-14,10005.060000,0.000000,0.000000,10005.060000,1.140000,5.060000,1
2025-10-15,10005.910000,0.000000,0.000000,10005.910000,0.850000,5.910000,1
2025-10-16,10006.200000,0.000000,0.000000,10006.200000,0.290000,6.200000,1
2025-10-17,10006.980000,0.000000,0.000000,10006.980000,0.790000,6.980000,1
2025-10-18,10007.500000,0.000000,0.000000,10007.500000,0.520000,7.500000,1
2025-10-19,10007.730000,0.000000,0.000000,10007.730000,0.240000,7.730000,1
2025-10-20,10008.950000,0.000000,0.000000,10008.950000,1.220000,8.950000,1
2025-10-21,10011.140000,0.000000,0.000000,10011.140000,2.190000,11.140000,1
2025-10-22,10011.860000,0.000000,0.000000,10011.860000,0.730000,11.860000,1
2025-10-23,10012.290000,0.000000,0.000000,10012.290000,0.430000,12.290000,1
2025-10-24,10012.760000,0.000000,0.000000,10012.760000,0.470000,12.760000,1
2025-10-25,10013.350000,0.000000,0.000000,10013.350000,0.590000,13.350000,1
2025-10-26,10014.380000,0.000000,0.000000,10014.380000,1.020000,14.380000,1
2025-10-27,10015.460000,0.000000,0.000000,10015.460000,1.080000,15.460000,1
2025-10-28,10015.520000,0.000000,0.000000,10015.520000,0.060000,15.520000,1
2025-10-29,10016.490000,0.000000,0.000000,10016.490000,0.970000,16.490000,1
2025-10-30,10017.570000,0.000000,0.000000,10017.570000,1.090000,17.570000,1
2025-10-31,10018.310000,0.000000,0.000000,10018.310000,0.730000,18.310000,1
2025-11-01,10019.380000,0.000000,0.000000,10019.380000,1.070000,19.380000,1
2025-11-02,10021.130000,0.000000,0.000000,10021.130000,1.750000,21.130000,1
2025-11-03,10021.640000,0.000000,0.000000,10021.640000,0.510000,21.640000,1
2025-11-04,10022.350000,0.000000,0.000000,10022.350000,0.710000,22.350000,1
2025-11-05,10024.140000,0.000000,0.000000,10024.140000,1.790000,24.140000,1
2025-11-06,10024.830000,0.000000,0.000000,10024.830000,0.690000,24.830000,1
2025-11-07,10027.650000,0.000000,0.000000,10027.650000,2.820000,27.650000,1
2025-11-08,10027.970000,0.000000,0.000000,10027.970000,0.330000,27.970000,1
2025-11-09,10029.060000,0.000000,0.000000,10029.060000,1.080000,29.060000,1
2025-11-10,10030.580000,0.000000,0.000000,10030.580000,1.530000,30.580000,1
2025-11-11,10031.070000,0.000000,0.000000,10031.070000,0.480000,31.070000,1
2025-11-12,10032.180000,0.000000,0.000000,10032.180000,1.110000,32.180000,1
2025-11-13,10032.530000,0.000000,0.000000,10032.530000,0.360000,32.530000,1
2025-11-14,10033.150000,0.000000,0.000000,10033.150000,0.620000,33.150000,1
2025-11-15,10034.340000,0.000000,0.000000,10034.340000,1.180000,34.340000,1
2025-11-16,10036.560000,0.000000,0.000000,10036.560000,2.220000,36.560000,1
2025-11-17,10037.240000,0.000000,0.000000,10037.240000,0.680000,37.240000,1
2025-11-18,10039.100000,0.000000,0.000000,10039.100000,1.860000,39.100000,1
2025-11-19,10039.850000,0.000000,0.000000,10039.850000,0.750000,39.850000,1
2025-11-20,10040.300000,0.000000,0.000000,10040.300000,0.450000,40.300000,1
2025-11-21,10041.430000,0.000000,0.000000,10041.430000,1.130000,41.430000,1
2025-11-22,10041.940000,0.000000,0.000000,10041.940000,0.510000,41.940000,1
2025-11-23,10041.860000,0.000000,0.000000,10041.860000,-0.080000,41.860000,1
2025-11-24,10042.570000,0.000000,0.000000,10042.570000,0.710000,42.570000,1
2025-11-25,10042.810000,0.000000,0.000000,10042.810000,0.240000,42.810000,1
2025-11-26,10043.400000,0.000000,0.000000,10043.400000,0.590000,43.400000,1
2025-11-27,10043.750000,0.000000,0.000000,10043.750000,0.350000,43.750000,1
2025-11-28,10043.960000,0.000000,0.000000,10043.960000,0.210000,43.960000,1
2025-11-29,10043.680000,0.000000,0.000000,10043.680000,-0.270000,43.680000,1
2025-11-30,10044.420000,0.000000,0.000000,10044.420000,0.740000,44.420000,1
2025-12-01,10044.740000,0.000000,0.000000,10044.740000,0.310000,44.740000,1
2025-12-02,10046.870000,0.000000,0.000000,10046.870000,2.130000,46.870000,1
2025-12-03,10046.780000,0.000000,0.000000,10046.780000,-0.090000,46.780000,1
2025-12-04,10048.220000,0.000000,0.000000,10048.220000,1.440000,48.220000,1
2025-12-05,10047.800000,0.000000,0.000000,10047.800000,-0.420000,47.800000,1
2025-12-14,10049.100000,0.000000,0.000000,10049.100000,1.300000,49.100000,1
2025-12-15,10049.770000,0.000000,0.000000,10049.770000,0.670000,49.770000,1
2025-12-16,10049.760000,0.000000,0.000000,10049.760000,-0.010000,49.760000,1
2025-12-17,10050.090000,0.000000,0.000000,10050.090000,0.330000,50.090000,1
2025-12-18,10050.920000,0.000000,0.000000,10050.920000,0.830000,50.920000,1
2025-12-19,10051.350000,0.000000,0.000000,10051.350000,0.430000,51.350000,1
2025-12-20,10051.600000,0.000000,0.000000,10051.600000,0.260000,51.600000,1
2025-12-21,10051.740000,0.000000,0.000000,10051.740000,0.140000,51.740000,1
2025-12-22,10051.650000,0.000000,0.000000,10051.650000,-0.090000,51.650000,1
2025-12-23,10051.600000,0.000000,0.000000,10051.600000,-0.050000,51.600000,1
2025-12-24,10051.550000,0.000000,0.000000,10051.550000,-0.050000,51.550000,1
2025-12-25,10051.480000,0.000000,0.000000,10051.480000,-0.070000,51.480000,1
2025-12-26,10051.890000,0.000000,0.000000,10051.890000,0.410000,51.890000,1
2025-12-27,10051.800000,0.000000,0.000000,10051.800000,-0.090000,51.800000,1
2025-12-28,10051.670000,0.000000,0.000000,10051.670000,-0.130000,51.670000,1
2025-12-29,10052.330000,0.000000,0.000000,10052.330000,0.660000,52.330000,1
2025-12-30,10053.210000,0.000000,0.000000,10053.210000,0.890000,53.210000,1
2025-12-31,10053.760000,0.000000,0.000000,10053.760000,0.550000,53.760000,1
2026-01-01,10053.820000,0.000000,0.000000,10053.820000,0.060000,53.820000,1
2026-01-02,10054.190000,0.000000,0.000000,10054.190000,0.380000,54.190000,1
2026-01-03,10054.580000,0.000000,0.000000,10054.580000,0.380000,54.580000,1
2026-01-04,10054.820000,0.000000,0.000000,10054.820000,0.240000,54.820000,1
2026-01-05,10054.860000,0.000000,0.000000,10054.860000,0.030000,54.860000,1
